connectorID,X,Y,Z,skeletonID
25854587,473092.0,205574.0,146480.0,2642963
25850000,472559.0,208961.0,136400.0,3410595
25206920,471797.0,207606.0,136440.0,291245
25190812,453593.0,213602.0,138200.0,3473938
25185170,466885.0,206054.0,139680.0,3474918
25181639,469946.0,209361.0,136160.0,291245
25180173,482316.0,208938.0,135160.0,7740734
25180026,484552.0,207908.0,134760.0,2692549
25179557,484682.0,210263.0,134640.0,2856560
25179425,486028.0,209006.0,134640.0,291245
25176196,490044.0,210090.0,133920.0,291245
25346214,464245.0,203250.0,143760.0,2692549
25344390,464795.0,206212.0,142120.0,2778280
13074190,458004.0,203566.0,141040.0,1165857
13074155,458177.0,203297.0,140680.0,2368115
13589357,460958.0,213296.0,135960.0,3474918
13588999,460733.0,213931.0,136680.0,2778280
12378414,453354.0,210246.0,138760.0,3474214
9888811,460154.0,198996.0,141720.0,2692549
13074811,459871.0,199166.0,141080.0,2968800
25338464,458192.0,204182.0,142440.0,2778280
13074274,458180.0,203948.0,142200.0,3474214
13074277,458428.0,204112.0,142200.0,3474214
25063872,478196.0,198014.0,143960.0,291245
13463354,475614.0,196513.0,142320.0,2778346
13447760,491197.0,209260.0,134520.0,2416268
8281874,453457.0,215119.0,138240.0,2371162
13413817,449433.0,214795.0,137160.0,1165857
12817925,484731.0,209580.0,132840.0,1165857
9078156,489339.0,210148.0,134080.0,2437627
9078088,487998.0,211010.0,134040.0,2437627
11027654,488046.0,209460.0,133760.0,291245
11536054,488297.0,210981.0,133640.0,2968800
11027334,487630.0,209432.0,133480.0,291245
11536380,484438.0,209282.0,133320.0,1165857
11573729,485186.0,210969.0,133280.0,2968800
9787666,487803.0,210521.0,134440.0,2437627
9535115,487332.0,209658.0,134400.0,2416268
25179740,485006.0,208378.0,134200.0,2692549
25347742,453869.0,211312.0,138520.0,3410595
9073314,470957.0,207169.0,136720.0,2856560
25206824,471841.0,207598.0,136800.0,291245
10823453,458273.0,212841.0,137640.0,2825338
13465001,472894.0,195012.0,139080.0,3995133
13343400,456714.0,201090.0,140320.0,291245
13343323,456864.0,200703.0,140920.0,2416268
12610870,459805.0,209117.0,137160.0,291245
12550487,468062.0,204329.0,144280.0,3473470
9886431,467089.0,207659.0,139920.0,2692549
12537870,466697.0,207483.0,139800.0,2692549
12900683,458521.0,211733.0,136080.0,2416268
12900402,460648.0,211227.0,135000.0,7164401
11545015,467616.0,204695.0,143080.0,3474146
12767061,457509.0,200853.0,141920.0,2778158
13467612,471767.0,198397.0,139880.0,1165857
13466097,474078.0,200329.0,139720.0,291245
7841207,449213.0,219412.0,138360.0,2371162
7749105,447336.0,220889.0,138240.0,2371162
12943727,442903.0,224467.0,137280.0,291245
9531029,442242.0,225216.0,137520.0,2416268
12523304,471078.0,204775.0,147480.0,3474918
11432451,463822.0,210441.0,135520.0,2416268
11366266,477334.0,196556.0,143280.0,3442503
11366258,476677.0,196267.0,143320.0,3442503
11357043,460744.0,197008.0,141080.0,3442503
12974469,481402.0,209742.0,133680.0,2416268
12226110,471676.0,201389.0,138960.0,2979401
12344179,472624.0,201887.0,138800.0,3656678
25205520,472123.0,201579.0,138240.0,1165857
25205640,473232.0,201317.0,138200.0,2368115
12004801,470006.0,205268.0,147160.0,3474146
11799717,474362.0,202257.0,140680.0,3473442
25181730,472136.0,208516.0,136640.0,291245
11747797,483592.0,208503.0,135200.0,2856560
11547535,463647.0,206886.0,138520.0,2968800
11546991,465741.0,206270.0,140440.0,3474828
11546949,464209.0,204428.0,140040.0,1165857
11546910,464251.0,203930.0,140200.0,2979401
11545502,466323.0,204660.0,142040.0,3474587
11545229,466780.0,204519.0,142600.0,2778346
12792749,466507.0,205110.0,143080.0,1165857
11544417,468372.0,203927.0,144480.0,2778280
11542860,472587.0,205607.0,147240.0,3474146
11542844,472190.0,205472.0,147120.0,3474146
12523278,470553.0,204665.0,147600.0,3474918
11542489,467114.0,195371.0,140440.0,3474091
11541865,472280.0,195590.0,139800.0,2968800
11541482,472070.0,195183.0,140520.0,2968800
11540691,472310.0,198353.0,140520.0,1165857
11539875,475114.0,196600.0,142000.0,2778346
11539413,474367.0,200552.0,140960.0,3473442
11833889,473416.0,200127.0,140880.0,3473470
11539247,471882.0,201791.0,138320.0,1165857
25876561,466776.0,195167.0,140720.0,3987229
11504968,466667.0,194937.0,140960.0,3410595
11227134,467567.0,202950.0,135400.0,2968800
11227115,466614.0,202448.0,135240.0,2968800
12766970,459067.0,199719.0,141280.0,2416268
12766937,458946.0,199971.0,140960.0,2416268
11112293,491038.0,210421.0,133120.0,2692549
11112252,491021.0,210591.0,133240.0,2692549
11112074,491787.0,209995.0,132960.0,2692549
11111944,492812.0,209768.0,132640.0,2692549
12338719,465121.0,204705.0,143960.0,2778280
10913038,465394.0,204703.0,143960.0,1165857
12841246,464603.0,203706.0,143640.0,3813833
12792084,464887.0,204183.0,143440.0,3813833
25346710,465586.0,204627.0,143440.0,1165857
11542986,472990.0,205196.0,146480.0,2642963
25854524,472340.0,205098.0,146720.0,3473442
11829262,471498.0,205092.0,147200.0,3473442
11829314,471021.0,204665.0,147120.0,3473442
11829353,469972.0,204583.0,147000.0,3473442
12605932,467806.0,204370.0,145800.0,2778346
